x-axis,1,2,3
second,Volt,Volt,Volt
-2.202500E-06,+2.440098281951E+00,+3.019040197134E+00,+3.293467629699E+00
-2.200000E-06,+1.183816865088E+00,+3.099442206323E+00,+3.343718886374E+00
-2.197500E-06,+530.550528319E-03,+3.099442206323E+00,+3.343718886375E+00
-2.195000E-06,+178.791731596E-03,+3.099442206323E+00,+3.343718886375E+00
-2.192500E-06,-574.977118520E-03,+3.099442206323E+00,+3.142713859677E+00
-2.190000E-06,-1.027238428593E+00,+3.099442206323E+00,+3.343718886375E+00
-2.187500E-06,-1.378997225316E+00,+3.099442206323E+00,+3.343718886375E+00
-2.185000E-06,-1.027238428593E+00,+3.099442206323E+00,+3.343718886375E+00
-2.182500E-06,-1.027238428593E+00,+3.159743713214E+00,+3.142713859677E+00
-2.180000E-06,-1.228243455291E+00,+3.099442206323E+00,+3.142713859677E+00
-2.177500E-06,-976.987171920E-03,+3.019040197134E+00,+3.142713859677E+00
-2.175000E-06,-625.228375196E-03,+3.099442206323E+00,+3.142713859677E+00
-2.172500E-06,-474.474605175E-03,+3.099442206323E+00,+3.142713859677E+00
-2.170000E-06,-424.223348498E-03,+3.019040197134E+00,+3.142713859677E+00
-2.167500E-06,-223.218321800E-03,+3.179844215512E+00,+2.941708832979E+00
-2.165000E-06,-22.213295102E-03,+3.099442206323E+00,+3.142713859677E+00
-2.162500E-06,+178.791731596E-03,+3.039140699432E+00,+3.343718886375E+00
-2.160000E-06,+178.791731596E-03,+3.019040197134E+00,+3.343718886374E+00
-2.157500E-06,+178.791731596E-03,+3.179844215512E+00,+3.343718886375E+00
-2.155000E-06,+178.791731596E-03,+3.179844215512E+00,+3.343718886375E+00
-2.152500E-06,+178.791731596E-03,+3.099442206323E+00,+3.343718886375E+00
